layer,input_shape,output_shape,,,,,,,
"Mixed_6d.branch7x7dbl_5.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),30,41,BatchNorm2d,
"Mixed_6d.branch7x7dbl_5, (BasicConv2d)","(1, 160, 17, 17)","(1, 192, 17, 17)",,(,),27,38,BasicConv2d,
"Mixed_6d.branch_pool.conv, (Conv2d)","(1, 768, 17, 17)","(1, 192, 17, 17)",,(,),29,35,Conv2d,
"Mixed_6d.branch_pool.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),27,38,BatchNorm2d,
"Mixed_6d.branch_pool, (BasicConv2d)","(1, 768, 17, 17)","(1, 192, 17, 17)",,(,),24,35,BasicConv2d,
"Mixed_6d, (InceptionC)","(1, 768, 17, 17)","(1, 768, 17, 17)",,(,),12,22,InceptionC,
"Mixed_6e.branch1x1.conv, (Conv2d)","(1, 768, 17, 17)","(1, 192, 17, 17)",,(,),27,33,Conv2d,
"Mixed_6e.branch1x1.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),25,36,BatchNorm2d,
"Mixed_6e.branch1x1, (BasicConv2d)","(1, 768, 17, 17)","(1, 192, 17, 17)",,(,),22,33,BasicConv2d,
"Mixed_6e.branch7x7_1.conv, (Conv2d)","(1, 768, 17, 17)","(1, 192, 17, 17)",,(,),29,35,Conv2d,
"Mixed_6e.branch7x7_1.bn, (BatchNorm2d)","(1, 192, 17, 17)","(1, 192, 17, 17)",,(,),27,38,BatchNorm2d,
