Full filepath,Full Class Index,sensitivityscore_before_features.7,sensitivityscore_before_features.19,sensitivityscore_before_features.20,sensitivityscore_before_features.21,sensitivityscore_before_features.22,sensitivityscore_before_features.23,sensitivityscore_before_features.24,sensitivityscore_before_features.25,sensitivityscore_before_features.26,sensitivityscore_before_features.27,sensitivityscore_before_features.28,sensitivityscore_After_features.28_0.5,sensitivityscore_After_features.28_0.6,sensitivityscore_After_features.28_0.7,sensitivityscore_After_features.28_0.8
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,1,-0.004010815,-0.00072835875,-0.0017536059,0.009124036,0.005453987,0.0151853785,0.014576232,0.013634222,0.027819842,0.029572044,0.029394062,0.026846893,0.019983178,0.015872007,0.0144151375
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,1,-0.0032426727,-0.0005206447,-0.0059680417,-0.00043499167,0.0026555588,0.0017321685,0.010180291,0.015482268,0.034598507,0.02730814,0.026606265,0.03980007,0.029891219,0.01865138,0.019194635
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg,1,-0.0061171604,0.010046729,0.014236602,0.0072943843,0.0066232225,0.019690456,0.039988935,0.016609922,0.03697308,0.050502628,0.03096943,0.03360281,0.027462265,0.017396584,0.02470344
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,1,0.0022930284,0.009052273,0.010560792,0.0074125975,0.013250342,0.02386256,0.017218933,0.023638528,0.032492716,0.011090661,0.023262255,0.029769845,0.021534204,0.01939616,0.011306971
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,1,-0.00013513067,-0.00031241227,-0.0011074927,0.0021064072,-0.0015697968,0.012668538,-0.0042564953,-0.001999522,0.022755064,0.017615516,0.022752188,0.023277521,0.018975887,0.020741567,0.016356865
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0060_777.jpg,1,0.00022487342,-0.0003975213,0.011479364,0.008935333,0.008609604,0.0296235,0.03322522,0.017791,0.057961788,0.06262237,0.024122246,0.034419134,0.020039385,0.023567453,0.020539299
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg,1,-0.00019379891,0.010987969,0.00833018,0.0021237726,0.0032668314,-0.0055178367,0.027835365,0.037737694,0.050422147,0.054165766,0.027237259,0.036451284,0.017804287,0.014270246,0.018145852
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg,1,-0.00572649,-0.0028867438,0.003293647,0.007584374,0.0060238796,0.027367137,0.019223453,0.022071712,0.024845958,0.025829874,0.018436493,0.032096997,0.019001778,0.00679469,0.011401551
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,1,0.00014254637,0.018143155,0.009321395,0.010675183,0.00988429,0.018431641,0.03988146,0.023874491,0.021266647,0.029957028,0.022599403,0.029292677,0.0129306,0.010071366,0.0069106105
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg,1,-0.011095437,0.002080544,0.010280789,0.0018169978,0.0051640356,0.004796701,0.025658065,0.02318846,0.0386665,0.040927984,0.03221695,0.030037701,0.024859816,0.010788448,0.017682303
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0104_630.jpg,1,-0.0013676516,0.0036956333,-0.0031640744,-0.0051261117,0.00030782312,-0.019564904,-0.011215767,-0.0037883925,-0.03236849,-0.013038698,-0.0070714667,0.0385383,0.024755415,0.025684757,0.02218829
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0049_918.jpg,1,-0.0070027355,-0.002107851,0.0023322161,0.000776871,0.0036155074,0.014568936,0.0079729045,0.0012215896,0.048387196,0.040493704,0.030083526,0.032367438,0.018687462,0.00783188,0.011100164
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0075_668.jpg,1,-0.0010949416,0.0077929352,-0.0020661482,-0.00087160885,0.00799045,-0.005128023,0.0073824497,0.023990244,0.041377388,0.025758129,0.0157284,0.039779272,0.024855565,0.0137551585,0.025761683
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0079_506.jpg,1,-0.0026374105,0.0053883754,0.009797467,0.004329873,-0.00091412454,0.014185151,0.024951126,0.032936625,0.03516738,0.03356607,0.028737297,0.02931158,0.01788594,0.01570892,0.014275399
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg,1,-0.005148004,-0.01845404,-0.012008928,-0.0013258661,-0.00410161,-0.013047231,-0.015739875,0.00067034597,0.026125638,0.029735511,0.020500997,0.032128766,0.032458708,0.013309436,0.0139172375
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0018_492.jpg,1,-0.0040365034,-0.011968504,-0.010123765,-0.01282637,-0.0021165877,-0.009806944,-0.0152002,-0.012364628,0.021091767,0.007847318,0.015761564,0.024091737,0.014673069,0.0019132122,0.005333481
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg,1,0.003157897,0.010449596,0.010112768,0.004339915,0.0017051384,0.010914099,0.002570995,0.0051573846,0.012732552,0.003090355,-0.0016689515,0.04554128,0.028951215,0.023417773,0.020992074
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,1,0.0036043394,0.01683327,0.014225011,0.0071747657,0.00683687,0.01710481,0.0136722475,0.016311908,0.013275827,-0.001144689,0.011042239,0.041905582,0.038037844,0.027929306,0.016156554
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,1,0.0020957317,-0.0027059177,0.0010217424,-0.0077145207,-0.01072204,-0.016852748,-0.024742333,-0.023260407,0.01613139,0.011054391,0.009225134,0.031620413,0.01922962,0.008688696,0.011335865
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0023_1059.jpg,1,0.00076437904,0.0045512593,0.010175975,0.007535855,0.008736402,0.019381572,0.033969965,0.04078262,0.034443412,0.023778405,0.040791757,0.024113549,0.021005467,0.022290286,0.012955792
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0034_628.jpg,1,-0.0042266045,-0.0023490703,-0.007175751,0.004048433,-0.002244053,-0.0101375,0.015941381,0.016190406,0.04939831,0.030854871,0.033670433,0.026528561,0.0220537,0.02641631,0.019893626
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0098_621.jpg,1,-0.0040118424,-0.008553264,-0.012727084,-0.0061669536,-0.008961752,-0.040147543,-0.016498849,-0.00967701,-0.0093963295,-0.022819463,0.007970931,0.031013582,0.017343514,0.0099458825,0.0049707256
