Full filepath,Full Class Index,features.0,features.2,features.4,features.5,features.7,features.9,features.10,features.12,features.14,features.16,features.17,features.19,features.21,features.23,features.24,features.26,features.28,features.30
/home/multiclass_classification/deer/train/bcc8547a4c.jpg,0,-0.004226416,-0.000625905,0.004027342,0.002440538,0.000406634,0.000753749,0.010164219,0.005804809,0.006893807,0.007136913,0.008055033,0.008468643,0.00835452,0.036117643,0.009807356,0.041643813,0.038128294,0.07519964
/home/multiclass_classification/deer/train/ce177c76ea.jpg,0,-0.000138533,-0.000143198,-0.001513419,6.64E-05,-0.001942615,0.000320309,0.000625257,-0.000806462,0.001724161,0.000967392,-0.002268056,0.006784518,0.004306969,0.019573266,0.014439575,0.024267117,0.01667906,0.04526805
/home/multiclass_classification/deer/train/89fac4b53b.jpg,0,0.002793249,0.003713841,0.007863036,0.011714995,0.008129325,0.016613243,0.010773411,0.007755066,0.006262273,0.01767955,0.014473002,0.009620478,0.007892745,0.02620234,0.03591048,0.02519338,0.036835857,0.06455495
/home/multiclass_classification/deer/train/b36c4826d4.jpg,0,0.002483621,0.001202418,-0.002153105,0.00897441,0.005612731,0.019931983,0.009514269,0.002653295,0.009047804,0.019503564,0.007583688,0.015874185,0.013216844,0.03466799,0.037635386,0.023661193,0.039064042,0.09311226
/home/multiclass_classification/deer/train/adfc05fa47.jpg,0,0.004393065,-7.35E-05,0.002142579,0.006274699,0.003323189,0.010073929,0.004717766,0.005744225,-0.001734814,0.001634103,-0.005523545,0.005822431,0.009945115,0.030302638,0.027418332,0.050111756,0.041374058,0.09005767
/home/multiclass_classification/deer/train/ec08aa0cd8.jpg,0,0.00373374,0.003946849,0.007432956,0.010681788,0.002057225,0.00835547,0.005952926,0.007724764,0.003313429,0.014140438,0.010066526,0.015162072,0.010240058,0.043943528,0.05271973,0.039386623,0.04771918,0.09037687
/home/multiclass_classification/deer/train/ae2b6d9c54.jpg,0,0.005690369,0.002013046,0.002346562,0.000763642,0.001012735,-0.003880536,-0.005218287,0.001781982,-0.00439112,-0.009465186,0.005647841,0.008932883,-0.000697222,0.00041297,0.018648282,0.023205547,0.033331644,0.083436444
/home/multiclass_classification/deer/train/8e9281aade.jpg,0,0.000962939,0.001101279,0.000678505,-0.00198326,-0.001064223,-0.001605481,0.002327784,-0.007014387,-0.003405547,-0.002534031,-0.004313522,0.005188448,0.003431791,0.019828059,0.013010827,0.02002412,0.034406006,0.059015214
/home/multiclass_classification/deer/train/3c386d3157.jpg,0,-0.001362889,0.001589816,0.006894444,0.003835983,0.006136119,0.009144219,0.011380307,0.002101125,0.007020907,0.004531859,0.023651632,0.006631977,0.010253601,0.033071727,0.0269901,0.018659562,0.048709173,0.0841994
/home/multiclass_classification/deer/train/image_34.jpg,0,-0.001335102,-0.002744677,-0.00156135,-0.000870762,-0.00055837,-0.004548536,0.003832374,-0.002852656,0.002544663,0.013238551,0.003061428,0.011588183,0.001895655,0.019593889,0.01507204,0.01639181,0.029811325,0.06771586
/home/multiclass_classification/deer/train/da2775c4ca.jpg,0,-0.001112413,-0.000766664,0.003642257,0.001857311,-0.001326335,0.002724763,-0.000683227,0.00135189,-0.00126948,-0.010256416,0.001931656,0.019121114,0.006101272,0.021019079,0.03931502,0.019858342,0.035491373,0.08417088
/home/multiclass_classification/deer/train/334b083800.jpg,0,0.002187982,0.002277807,0.00204365,0.006334424,0.003853779,0.007861852,0.012041849,0.002233901,0.005245097,0.002704341,0.016269425,0.010756164,0.009981843,0.035866745,0.038977116,0.024559747,0.04540962,0.099456385
/home/multiclass_classification/deer/train/image_44.jpg,0,-0.000140456,0.002009034,0.010228525,0.004733887,0.007044866,0.010571597,0.006594599,0.002748448,-0.001082044,0.001866208,0.000399874,-0.004430145,0.004659295,0.010233465,-0.002198597,0.022002524,0.027962439,0.07021008
/home/multiclass_classification/deer/train/5688f2dd39.jpg,0,0.000763464,0.002694492,0.011151912,0.005976156,0.001596361,0.001106683,-0.000651713,0.001607667,0.002982053,0.006133808,-0.008113612,0.011144274,0.002025496,0.01500064,0.028735993,0.029759508,0.036737762,0.09606266
/home/multiclass_classification/deer/train/image_76.jpg,0,0.002474092,0.003530023,0.008836066,0.007172057,0.009845571,0.030494044,0.018711332,0.014862211,0.012372772,0.02136572,0.019978374,0.016931947,0.003897531,0.009999314,0.044288997,0.046047132,0.03798817,0.08466688
/home/multiclass_classification/deer/train/image_36.jpg,0,0.001215984,0.001612246,-0.000175953,0.007191263,0.007080806,0.025094792,0.007000278,0.011855322,0.007161261,0.02316089,0.013900043,0.008417009,0.010364512,0.003797288,0.041679025,0.02196678,0.03002785,0.07121619
/home/multiclass_classification/deer/train/ca61ab1b1f.jpg,0,-0.002817087,0.003493647,0.005002841,-0.00062508,0.001210534,0.005090823,3.68E-05,0.0042369,0.00383466,-0.003513703,0.005027435,0.008031156,0.005997721,0.029706039,0.018042158,0.012356805,0.019772967,0.051618338
/home/multiclass_classification/deer/train/image_15.jpg,0,-0.000430607,-0.00028895,0.003866572,-0.001214773,0.005230318,0.011072915,0.012638844,0.008416487,0.011726055,0.025627151,0.017006014,0.014078064,0.012147035,0.03283049,0.04787385,0.03508921,0.04430762,0.08276197
/home/multiclass_classification/deer/train/2f784a16ff.jpg,0,0.001668375,0.006277929,0.017017085,0.011497933,0.011456374,0.028161045,0.018913954,0.009782892,0.00305955,0.009417636,0.019080065,0.010972243,0.0077444,0.01934376,0.042258948,0.030285288,0.03362094,0.055766374
/home/multiclass_classification/deer/train/4d03862792.jpg,0,0.00295226,0.003299262,0.000567753,0.002809058,0.004370913,0.006498645,0.008633796,0.007660505,0.007796002,0.01558128,0.006363588,0.012498406,0.010049901,0.030478675,0.023725629,0.017808197,0.018493742,0.057163894
/home/multiclass_classification/deer/train/46e1fa93fd.jpg,0,0.001226836,0.002244734,0.005747801,0.00023653,0.002089539,0.002404861,0.000690758,-0.005530447,0.00137369,0.001235544,0.005475887,0.002695342,0.007171911,0.028933436,0.03759653,0.024922322,0.025188386,0.054269165
/home/multiclass_classification/deer/train/4fe8b150b0.jpg,0,0.001459974,0.000651189,0.008290831,0.001046906,0.002864504,0.005869233,0.005840868,0.010506137,0.00612159,0.006525332,0.008728266,0.01292868,0.007753218,0.031053703,0.03722304,0.03323522,0.0340675,0.091432445
/home/multiclass_classification/deer/train/5f64ab23c1.jpg,0,0.000459661,0.000615737,0.004340074,0.002806801,0.001897934,0.005065292,0.001992966,0.000412039,0.002707079,0.004559816,0.005382698,0.009029567,0.008567091,0.011778699,0.033211783,0.02487176,0.03665811,0.0740104
/home/multiclass_classification/deer/train/f8e743bf45.jpg,0,0.004182375,0.003118489,0.002355302,0.000565395,0.008737625,0.012365917,0.01473631,0.006828756,0.004731671,0.020980412,0.019399144,0.03143874,0.015478576,0.043691784,0.05443576,0.0387969,0.046433777,0.09334658
/home/multiclass_classification/deer/train/c0c235bd8b.jpg,0,0.000287817,0.00410459,0.010915805,-0.005240553,-0.000676751,-0.007112851,-0.001355242,-0.000125419,0.000181384,-0.00084278,-0.004001272,-0.001910019,0.005442742,0.021980189,0.02314569,0.02433707,0.0385907,0.07598427
/home/multiclass_classification/deer/train/c4c0be2432.jpg,0,0.001959526,-0.001514468,0.008328423,0.001301085,-5.63E-05,0.002346499,0.005089691,0.001831932,0.004615729,0.006376546,0.011412198,0.006607972,-0.002684008,0.006093227,-7.33E-05,0.024071407,0.03415335,0.077782825
/home/multiclass_classification/deer/train/3ee287c0c3.jpg,0,0.005219231,0.000527061,0.00426864,0.002743306,0.000650939,0.010341655,0.007540708,0.005335393,0.008536131,-0.006749655,0.011044715,0.018346054,0.008663171,0.037795607,0.05202956,0.010046977,0.03865408,0.07975001
/home/multiclass_classification/deer/train/694df53540.jpg,0,-0.00391392,0.000966325,0.000383601,-0.001003774,0.004118011,0.002689029,0.008579761,0.006825593,0.009631249,0.03535716,0.026092682,0.022234011,0.011909299,0.02496485,0.036576577,0.018807264,0.04342933,0.07639095
/home/multiclass_classification/deer/train/f3951bdef1.jpg,0,0.001224023,0.001011658,0.005245416,0.001992927,0.008845409,0.018317318,0.021433545,0.009136193,0.01324611,0.026788343,0.026392035,0.022148471,0.016439086,0.035691336,0.04494594,0.04238305,0.041211285,0.08769538
/home/multiclass_classification/deer/train/00fdcaa6df.jpg,0,0.000327061,0.003533519,0.005272171,0.01036993,0.005465328,0.017062671,0.008983275,0.012668313,0.011843864,0.028147353,0.014656413,0.02068957,0.01057702,0.020908108,0.049582142,0.03352595,0.033876613,0.06557746
