2026-02-13 01:56:41,015 - INFO - ================================================================================
2026-02-13 01:56:41,015 - INFO - Perturbation method and options c2_bg
2026-02-13 01:56:41,015 - INFO - ================================================================================
2026-02-13 01:56:41,015 - INFO - Starting perturbation process at 20260213_015641
2026-02-13 01:56:41,015 - INFO - Model Name: resnet50
2026-02-13 01:56:41,015 - INFO - Model Path: /mnt/sdd/basics/balanced_training/resnet50/resnet50.pth
2026-02-13 01:56:41,015 - INFO - Base Image Directory: /home/balanced_dataset/train
2026-02-13 01:56:41,015 - INFO - Batch Size: 32
2026-02-13 01:56:41,019 - INFO - Collected 2112 images for analysis.
2026-02-13 01:57:09,409 - INFO - Batch processed 2112                           images into 66 batches with batch size 32.
2026-02-13 01:57:09,409 - INFO - Input image shapes: Number of batches: 66,                           Batch size: 32,                           Image tensor shape: torch.Size([32, 3, 224, 224])
2026-02-13 01:57:09,460 - INFO - Model loaded from /mnt/sdd/basics/balanced_training/resnet50/resnet50.pth and set to evaluation mode.
2026-02-13 01:57:09,460 - INFO - Custom layers to perturb set: ['layer3.5.conv2', 'layer4.2.conv3']
2026-02-13 01:57:09,460 - INFO - Options class and artifact c2_bg
2026-02-13 01:57:09,460 - INFO - List of layers to pertubate ['layer3.5.conv2', 'layer4.2.conv3']
2026-02-13 01:57:09,505 - INFO - ================================================================================
2026-02-13 01:57:09,505 - INFO - Target layer found: layer3.5.conv2
2026-02-13 01:57:10,381 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,387 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,393 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,399 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,405 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,411 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,417 - INFO - Captured activation for layer: layer3.5.conv2,                 activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,423 - INFO - Captured activation for layer: layer3.5.conv2, activation shape: torch.Size([32, 256, 14, 14])
2026-02-13 01:57:10,424 - INFO - Stacked activations shape for layer layer3.5.conv2: torch.Size([2112, 256, 14, 14])
2026-02-13 01:57:10,491 - INFO - Added Gaussian noise with std: 0.001
2026-02-13 01:57:10,574 - INFO - Perturbed activation  values: tensor([-0.0375, -0.0532, -0.0517,  ..., -0.0303, -0.1164,  0.0034],
       device='cuda:0')
2026-02-13 01:57:10,575 - INFO - Standard deviation of activations for layer layer3.5.conv2: 0.0914
2026-02-13 01:57:10,575 - INFO - Checking normality of activations for layer layer3.5.conv2 using Shapiro-Wilk test.
2026-02-13 01:57:13,834 - INFO - Shapiro-Wilk test: statistic=0.7856, p-value=6.5172e-63
2026-02-13 01:57:13,834 - INFO - Normally distributed: False
2026-02-13 01:57:13,835 - INFO - Perturbed activation shape: torch.Size([2112, 256, 14, 14]), Std activation shape: torch.Size([1, 256, 14, 14])
