Full filepath,Full Class Index,sensitivityscore_before_features.7,sensitivityscore_before_features.19,sensitivityscore_before_features.20,sensitivityscore_before_features.21,sensitivityscore_before_features.22,sensitivityscore_before_features.23,sensitivityscore_before_features.24,sensitivityscore_before_features.25,sensitivityscore_before_features.26,sensitivityscore_before_features.27,sensitivityscore_before_features.28
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,1,0.0077667227,0.018501561,0.024519773,0.022667166,0.02328624,0.05084502,0.036401387,0.04325056,0.07045366,0.06886789,0.04823304
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,1,0.006904774,0.016669337,0.012064673,0.0057961293,0.010151331,0.017586196,0.008497966,0.012293231,0.049259357,0.039944675,0.03812187
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0023_1059.jpg,1,-0.00081639696,0.014923953,0.019366678,0.013245223,0.015523288,0.033368707,0.033539325,0.036112264,0.060780562,0.040450025,0.030858146
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg,1,0.0014284567,0.01520139,0.01535813,0.011094144,0.019497134,0.05183302,0.025829703,0.04782192,0.07836965,0.08533436,0.03646025
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,1,-3.793901e-05,0.015587258,0.009801343,0.008035975,0.013561657,0.028987912,0.04630228,0.041171536,0.053956345,0.051060572,0.03613618
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0091_602.jpg,1,0.0020473853,0.023411319,0.029977117,0.015603006,0.022036776,0.04708227,0.04280565,0.027923068,0.083239384,0.077556156,0.044029377
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,1,0.0023308008,0.015269646,0.025613524,0.013585854,0.02290538,0.037347678,0.017670298,0.025655285,0.06465801,0.063675895,0.040313873
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0001_545.jpg,1,0.002039491,0.01593894,0.008646208,0.007596691,0.0049378425,0.0030553394,0.00908534,0.02382737,0.07837975,0.07779385,0.042662833
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg,1,0.0077980934,0.014396134,0.021795899,0.023509422,0.022421554,0.06309715,0.036614686,0.033939596,0.08570257,0.070286795,0.030804861
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,1,0.00088162796,-0.00062629225,0.003788759,-0.0039312956,-0.0034711224,-0.002862705,-0.003595962,0.0038944553,0.059139624,0.04436505,0.03494604
