Full filepath,Full Class Index,sensitivityscore_before_features.11.block.2.fc1,sensitivityscore_before_features.11.block.2.fc2,sensitivityscore_before_features.12.block.2.fc1,sensitivityscore_before_features.12.block.2.fc2,sensitivityscore_before_features.13.block.2.fc1,sensitivityscore_before_features.13.block.2.fc2,sensitivityscore_before_features.14.block.2.fc1,sensitivityscore_before_features.14.block.2.fc2,sensitivityscore_before_features.15.block.2.fc1,sensitivityscore_before_features.15.block.2.fc2,sensitivityscore_before_features.16.0
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,1,-0.0033515282,0.014412774,-0.1932936,-0.060945205,-0.056059793,-0.048901327,-0.022383593,0.02774948,-0.06750824,-0.020129465,-0.017311417
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0051_1020.jpg,1,0.11369775,0.05660609,0.06622683,0.0035725469,-0.012330465,-0.011030668,0.018597001,0.012520574,-0.079999164,-0.020933634,-0.0063770665
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0028_643.jpg,1,0.105664514,0.09439541,-0.122312255,-0.16014299,-0.12607566,0.027550623,0.09313311,0.016564127,-0.014783017,-0.010244919,-0.013523524
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0053_543.jpg,1,0.061416656,0.027582522,0.072216794,0.010625535,-0.19589186,-0.08462588,0.041160457,0.054490454,-0.036665447,0.016248869,-0.002170828
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0060_777.jpg,1,-0.1504662,-0.027744602,-0.11963947,-0.039714046,-0.12761655,-0.040387288,-0.01745505,0.024525821,-0.14898106,-0.015657112,-0.023701042
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,1,-0.038789608,0.0038176635,-0.09303597,-0.08848551,-0.10442509,-0.017915582,-0.097915374,-0.023253592,-0.05430704,-0.01682212,-0.0102662435
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0059_488.jpg,1,-0.21139698,-0.1201279,-0.20901011,-0.07379108,-0.20965528,-0.0753876,0.07708132,0.039606124,-0.15747541,0.029471066,-0.004623222
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0079_506.jpg,1,-0.058013134,-0.008103233,-0.18593231,0.02136316,-0.10972614,-0.03449397,-0.06664987,-0.054620214,-0.07710001,-0.012271788,-0.016612167
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0093_725.jpg,1,-0.067830995,-0.046271957,0.17846206,0.021310661,-0.17557392,-0.054432854,-0.06292818,-0.016374666,-0.0444392,-0.0047236523,0.0012335242
/mnt/sdd/caltech_training/multiclass/train/002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,1,-0.14338437,-0.059101738,0.052529186,0.04939767,0.094834685,0.013967695,-0.051458985,-0.011300272,-0.10252761,-0.033172227,-0.007694917
