Full filepath,Full Class Index,sensitivityscore_before_features.19,sensitivityscore_After_features.19_0.5,sensitivityscore_After_features.19_0.6,sensitivityscore_After_features.19_0.7,sensitivityscore_After_features.19_0.8,sensitivityscore_before_features.20,sensitivityscore_before_features.22,sensitivityscore_before_features.23,sensitivityscore_before_features.24,sensitivityscore_After_features.24_0.5,sensitivityscore_After_features.24_0.6,sensitivityscore_After_features.24_0.7,sensitivityscore_After_features.24_0.8
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,1,-0.002667424,0.016278062,-0.00581668,-0.002715742,-0.008448653,-0.003731384,-0.00125097,0.010469533,0.023120863,0.018625448,0.021304,0.013983794,-0.003484749
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0080_821.jpg,1,0.027396664,0.023215456,0.014520094,0.020719785,0.012403654,0.007921561,-0.000261989,0.01701258,0.021905445,0.002561631,-0.015153724,0.003400142,0.015206839
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,1,0.009607352,0.005958917,0.011048741,-0.002488779,0.006110076,0.010400204,0.002116049,0.023123063,0.024658293,0.04177249,0.018090475,0.014526166,0.00180231
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0042_801.jpg,1,0.015085325,0.006165962,0.001559807,-0.004521239,-0.008003561,0.002931959,0.014534499,0.02293931,0.043869924,0.031174002,0.018230129,0.027329655,0.019589521
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,1,0.007723693,-0.009709845,-0.008137561,-0.011127275,-0.021364916,0.001860164,-0.005091464,-0.02267209,0.03412208,0.011311196,0.017339244,-0.002203806,-0.004211967
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0012_696.jpg,1,-0.002331811,0.012843613,0.004742642,-0.003721542,0.000416497,0.002903179,-0.000952275,0.011689598,0.019037945,-0.003793888,0.020726526,-0.004493733,0.019008461
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0028_643.jpg,1,-0.012696355,-0.023056079,-0.008344887,-0.010113391,0.001407924,-0.008421678,-0.009406721,-0.015968475,0.026177019,0.040239464,0.019456584,0.009058262,-0.007670786
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,1,-0.010318894,-0.021919098,-0.014023109,-0.021452518,-0.009144907,-0.011230466,-0.007990954,-0.02901675,-0.01188687,0.013932638,-0.008828417,-0.013075041,-0.017256748
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,1,-0.001913325,-0.001224519,0.012644465,0.01014084,0.00880524,-0.013797148,0.003259689,0.013746917,0.026608359,0.036407314,0.000232553,0.005241494,0.011743071
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,1,0.003936457,-0.013913475,-0.028221361,-0.033510808,-0.017454796,-0.00125617,-0.007713752,0.001584618,0.020197101,0.011887417,-0.002021404,0.00134912,-0.028162116
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg,1,0.012412723,0.007201472,0.012420462,0.003600535,0.008349938,0.015629938,0.009446699,0.008864723,0.046924092,0.019077916,-0.003398348,0.010000188,0.02052237
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,1,0.01274124,0.010483546,-0.007114276,-0.007442799,-0.005221085,0.006801866,0.004625312,0.034450494,0.029151978,0.036978617,0.013739994,0.015819207,-0.005467472
