Full filepath,Full Class Index,sensitivityscore_before_layer1.0.conv1,sensitivityscore_before_layer1.0.conv2,sensitivityscore_before_layer1.0.conv3,sensitivityscore_before_layer4.0.conv1,sensitivityscore_before_layer4.0.conv2,sensitivityscore_before_layer4.0.conv3,sensitivityscore_before_layer4.1.conv1,sensitivityscore_before_layer4.1.conv2,sensitivityscore_before_layer4.1.conv3,sensitivityscore_before_layer4.2.conv1,sensitivityscore_before_layer4.2.conv2,sensitivityscore_before_layer4.2.conv3,sensitivityscore_After_layer4.2.conv3_0.5,sensitivityscore_After_layer4.2.conv3_0.6,sensitivityscore_After_layer4.2.conv3_0.7,sensitivityscore_After_layer4.2.conv3_0.8
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0060_777.jpg,1,0.017802775,0.0073452545,0.005609777,0.0090902895,0.0032746466,0.013869517,0.0114805065,0.013919821,0.010290233,0.014346771,0.018808933,0.021046607,-0.07155314,-0.049577676,-0.030577201,-0.009331634
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg,1,0.0033469843,-0.005604084,0.0020169911,0.0076310076,0.0065127206,0.004165083,-0.009221874,-0.0045852503,0.019742215,-0.022597514,-0.0133578535,0.019985909,-0.073013,-0.051478554,-0.0339074,-0.013399841
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg,1,-0.0063472483,-0.003377139,-0.001382968,-0.003764512,-0.0005381778,0.0048869434,0.008265182,-0.002134995,0.014483421,0.01663017,0.0033226986,0.018470638,-0.07410663,-0.046409387,-0.029025242,-0.013016734
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,1,-0.013691171,-0.0027690758,0.001117479,0.0041713105,0.0028007114,-0.006349886,0.0007260381,0.0054673925,0.010383237,0.0010010565,0.008168095,0.021714404,-0.0678184,-0.05587589,-0.03097005,-0.017112462
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg,1,0.008522074,0.0035270741,0.0020637843,0.008347211,0.0012583178,0.0061526317,0.006641004,0.0021231044,0.013074462,0.008507216,0.01278017,0.019799005,-0.08886036,-0.058314197,-0.04561524,-0.018610982
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0104_630.jpg,1,0.0060101515,0.007512168,0.00558342,0.009308023,-0.002623055,-0.00066998956,-0.0013775062,-0.0034837252,0.010606311,0.01791119,0.016063135,0.016901303,-0.068882234,-0.043072276,-0.02845941,-0.009881961
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0049_918.jpg,1,0.016662788,-0.0012967923,-0.00081921066,0.005195906,0.016957298,0.014072332,0.0147258695,0.0020505842,0.008647339,-0.009581486,0.0039475337,0.017604169,-0.08229284,-0.05778677,-0.03840414,-0.0175118
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0075_668.jpg,1,0.0017650281,-0.0029824637,0.0008652741,-0.0032873405,-0.007665159,0.005805186,0.00418753,-0.00523521,0.009178994,0.0118824085,0.009474652,0.018927997,-0.07457641,-0.05186556,-0.0396346,-0.021112297
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0079_506.jpg,1,0.0068056304,-0.005606979,0.0009138229,-0.0016706104,0.01969927,0.004586859,-0.0037445491,-0.01584982,0.0124200955,-0.0065645715,-0.011661523,0.017956022,-0.07889001,-0.05193714,-0.036273908,-0.013172107
/mnt/sdd/caltech_training/three_classes/train/002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg,1,-0.004854696,-0.0025993607,-0.00071697705,0.0023498205,0.007953887,0.009747038,0.02662181,0.011471011,0.0112528745,0.02692643,0.0064541628,0.027627457,-0.07224524,-0.04974033,-0.031416226,-0.010575157
